fixture_id,theme_id,expected,rank,semantic_score,lexical_score,combined_score,coverage,delta_from_best,ratio_to_best,segment_support_count,segment_count
it_security,religion,0,9,0.471936,0.000000,0.353952,1.000000,0.314913,0.529183,1,1
it_security,medicine,0,10,0.465233,0.000000,0.348925,1.000000,0.319940,0.521667,1,1
it_ml,science,1,1,0.626834,0.500000,0.595125,1.000000,0.000000,1.000000,1,1
it_ml,it,1,2,0.668859,0.166667,0.543311,1.000000,0.051814,0.912936,1,1
it_ml,medicine,0,3,0.540224,0.000000,0.405168,1.000000,0.189957,0.680812,1,1
it_ml,economics,0,4,0.515505,0.000000,0.386629,1.000000,0.208496,0.649660,1,1
it_ml,law,0,5,0.501471,0.000000,0.376103,1.000000,0.219022,0.631973,1,1
it_ml,politics,0,6,0.483386,0.000000,0.362540,1.000000,0.232585,0.609183,1,1
it_ml,military,0,7,0.483055,0.000000,0.362291,1.000000,0.232834,0.608765,1,1
it_ml,sports,0,8,0.472183,0.000000,0.354137,1.000000,0.240988,0.595063,1,1
it_ml,religion,0,9,0.446618,0.000000,0.334964,1.000000,0.260161,0.562846,1,1
it_ml,everyday,0,10,0.423986,0.000000,0.317989,1.000000,0.277136,0.534323,1,1
economics_inflation,economics,1,1,0.675948,0.500000,0.631961,1.000000,0.000000,1.000000,1,1
economics_inflation,everyday,0,2,0.451813,0.166667,0.380526,1.000000,0.251435,0.602135,1,1
economics_inflation,politics,0,3,0.494388,0.000000,0.370791,1.000000,0.261170,0.586731,1,1
economics_inflation,military,0,4,0.458349,0.000000,0.343762,1.000000,0.288199,0.543961,1,1
economics_inflation,medicine,0,5,0.453996,0.000000,0.340497,1.000000,0.291464,0.538794,1,1
economics_inflation,sports,0,6,0.450996,0.000000,0.338247,1.000000,0.293714,0.535234,1,1
economics_inflation,it,0,7,0.431990,0.000000,0.323993,1.000000,0.307968,0.512679,1,1
economics_inflation,science,0,8,0.431323,0.000000,0.323492,1.000000,0.308469,0.511886,1,1
economics_inflation,law,0,9,0.420787,0.000000,0.315590,1.000000,0.316371,0.499382,1,1
economics_inflation,religion,0,10,0.419926,0.000000,0.314945,0.000000,0.317016,0.498361,0,1
economics_company,economics,1,1,0.666601,0.500000,0.624951,1.000000,0.000000,1.000000,1,1
economics_company,everyday,0,2,0.499244,0.166667,0.416100,1.000000,0.208851,0.665812,1,1
economics_company,law,0,3,0.465472,0.166667,0.390771,1.000000,0.234180,0.625283,1,1
economics_company,science,0,4,0.502187,0.000000,0.376640,1.000000,0.248311,0.602671,1,1
economics_company,medicine,0,5,0.487927,0.000000,0.365945,1.000000,0.259006,0.585558,1,1
economics_company,politics,0,6,0.485269,0.000000,0.363952,1.000000,0.260999,0.582369,1,1
economics_company,it,0,7,0.471433,0.000000,0.353575,1.000000,0.271376,0.565764,1,1
economics_company,military,0,8,0.471095,0.000000,0.353321,1.000000,0.271630,0.565358,1,1
economics_company,sports,0,9,0.451142,0.000000,0.338357,1.000000,0.286594,0.541414,1,1
economics_company,religion,0,10,0.429904,0.000000,0.322428,1.000000,0.302523,0.515925,1,1
economics_investment,economics,1,1,0.682515,0.666667,0.678553,1.000000,0.000000,1.000000,1,1
economics_investment,politics,0,2,0.472420,0.166667,0.395982,1.000000,0.282571,0.583568,1,1
economics_investment,medicine,0,3,0.455732,0.166667,0.383466,1.000000,0.295087,0.565123,1,1
economics_investment,law,0,4,0.505329,0.000000,0.378997,1.000000,0.299556,0.558537,1,1
economics_investment,it,0,5,0.485633,0.000000,0.364225,1.000000,0.314328,0.536767,1,1
economics_investment,science,0,6,0.479185,0.000000,0.359389,1.000000,0.319164,0.529640,1,1
economics_investment,military,0,7,0.478558,0.000000,0.358918,1.000000,0.319635,0.528946,1,1
economics_investment,everyday,0,8,0.469313,0.000000,0.351985,1.000000,0.326568,0.518729,1,1
economics_investment,sports,0,9,0.462489,0.000000,0.346867,1.000000,0.331686,0.511186,1,1
economics_investment,religion,0,10,0.418128,0.000000,0.313596,0.000000,0.364957,0.462154,0,1
